condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.56,300,A1,directional_remove,-0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,exp3_reasoning_em,contains_em,0.35,400,A1,directional_remove,-0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,format_compliance_v2,compliance_rate,0.17582417582417584,182,A1,directional_remove,-0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,mmlu_forced_choice,accuracy,0.52,300,A1,directional_remove,-0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-0.5,structural_token_ratio,ratio,0.06380410152141047,1400,A1,directional_remove,-0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_alignment_behavior,behavior_match,0.56,300,A1,directional_remove,-1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,exp3_reasoning_em,contains_em,0.095,400,A1,directional_remove,-1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,format_compliance_v2,compliance_rate,0.17582417582417584,182,A1,directional_remove,-1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1,directional_remove,-1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-1,structural_token_ratio,ratio,0.045929826570459326,1400,A1,directional_remove,-1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_alignment_behavior,behavior_match,0.5066666666666667,300,A1,directional_remove,-2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,exp3_reasoning_em,contains_em,0.07,400,A1,directional_remove,-2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,format_compliance_v2,compliance_rate,0.17582417582417584,182,A1,directional_remove,-2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,mmlu_forced_choice,accuracy,0.44,300,A1,directional_remove,-2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-2,structural_token_ratio,ratio,0.1297108677451872,1400,A1,directional_remove,-2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_alignment_behavior,behavior_match,0.5,300,A1,directional_remove,-3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,exp3_reasoning_em,contains_em,0.03,400,A1,directional_remove,-3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,format_compliance_v2,compliance_rate,0.14835164835164835,182,A1,directional_remove,-3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,mmlu_forced_choice,accuracy,0.4033333333333333,300,A1,directional_remove,-3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-3,structural_token_ratio,ratio,0.1857469676221593,1400,A1,directional_remove,-3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,exp3_alignment_behavior,behavior_match,0.4266666666666667,300,A1,directional_remove,-5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,exp3_reasoning_em,contains_em,0.04,400,A1,directional_remove,-5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,format_compliance_v2,compliance_rate,0.13186813186813187,182,A1,directional_remove,-5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,mmlu_forced_choice,accuracy,0.36,300,A1,directional_remove,-5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_-5,structural_token_ratio,ratio,0.2850959272494206,1400,A1,directional_remove,-5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,exp3_alignment_behavior,behavior_match,0.5866666666666667,300,A1,directional_remove,0.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,exp3_reasoning_em,contains_em,0.535,400,A1,directional_remove,0.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,format_compliance_v2,compliance_rate,0.27472527472527475,182,A1,directional_remove,0.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,mmlu_forced_choice,accuracy,0.5266666666666666,300,A1,directional_remove,0.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0,structural_token_ratio,ratio,0.0585176070354181,1400,A1,directional_remove,0.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,exp3_alignment_behavior,behavior_match,0.5866666666666667,300,A1,directional_remove,0.25,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,exp3_reasoning_em,contains_em,0.52,400,A1,directional_remove,0.25,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,format_compliance_v2,compliance_rate,0.37362637362637363,182,A1,directional_remove,0.25,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,mmlu_forced_choice,accuracy,0.54,300,A1,directional_remove,0.25,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.25,structural_token_ratio,ratio,0.051779180577366475,1400,A1,directional_remove,0.25,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,exp3_alignment_behavior,behavior_match,0.5666666666666667,300,A1,directional_remove,0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,exp3_reasoning_em,contains_em,0.54,400,A1,directional_remove,0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,format_compliance_v2,compliance_rate,0.45604395604395603,182,A1,directional_remove,0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,mmlu_forced_choice,accuracy,0.5233333333333333,300,A1,directional_remove,0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.5,structural_token_ratio,ratio,0.051697897309613564,1400,A1,directional_remove,0.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,exp3_alignment_behavior,behavior_match,0.5533333333333333,300,A1,directional_remove,0.75,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,exp3_reasoning_em,contains_em,0.525,400,A1,directional_remove,0.75,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,format_compliance_v2,compliance_rate,0.46703296703296704,182,A1,directional_remove,0.75,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,mmlu_forced_choice,accuracy,0.51,300,A1,directional_remove,0.75,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_0.75,structural_token_ratio,ratio,0.05078591189913083,1400,A1,directional_remove,0.75,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,exp3_alignment_behavior,behavior_match,0.58,300,A1,directional_remove,1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,exp3_reasoning_em,contains_em,0.53,400,A1,directional_remove,1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1,directional_remove,1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1,directional_remove,1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1,structural_token_ratio,ratio,0.04936480542251297,1400,A1,directional_remove,1.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1.5,exp3_alignment_behavior,behavior_match,0.5933333333333334,300,A1,directional_remove,1.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1.5,exp3_reasoning_em,contains_em,0.54,400,A1,directional_remove,1.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1.5,format_compliance_v2,compliance_rate,0.43956043956043955,182,A1,directional_remove,1.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1.5,mmlu_forced_choice,accuracy,0.49666666666666665,300,A1,directional_remove,1.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_1.5,structural_token_ratio,ratio,0.04884559971699596,1400,A1,directional_remove,1.5,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,exp3_alignment_behavior,behavior_match,0.8,300,A1,directional_remove,2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,exp3_reasoning_em,contains_em,0.41,400,A1,directional_remove,2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,format_compliance_v2,compliance_rate,0.4340659340659341,182,A1,directional_remove,2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,mmlu_forced_choice,accuracy,0.5,300,A1,directional_remove,2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_2,structural_token_ratio,ratio,0.06314216533086849,1400,A1,directional_remove,2.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,exp3_alignment_behavior,behavior_match,0.9066666666666666,300,A1,directional_remove,3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,exp3_reasoning_em,contains_em,0.035,400,A1,directional_remove,3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,format_compliance_v2,compliance_rate,0.35714285714285715,182,A1,directional_remove,3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,mmlu_forced_choice,accuracy,0.44,300,A1,directional_remove,3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_3,structural_token_ratio,ratio,0.5342469796908415,1400,A1,directional_remove,3.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,exp3_alignment_behavior,behavior_match,0.5933333333333334,300,A1,directional_remove,5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,exp3_reasoning_em,contains_em,0.0,400,A1,directional_remove,5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,format_compliance_v2,compliance_rate,0.2795031055900621,161,A1,directional_remove,5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,mmlu_forced_choice,accuracy,0.2833333333333333,300,A1,directional_remove,5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_alpha_5,structural_token_ratio,ratio,0.8785148500786437,1400,A1,directional_remove,5.0,0.0,"[18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]"
A1_baseline,exp3_alignment_behavior,behavior_match,0.58,300,A1,none,1.0,0.0,[]
A1_baseline,exp3_reasoning_em,contains_em,0.53,400,A1,none,1.0,0.0,[]
A1_baseline,format_compliance_v2,compliance_rate,0.4835164835164835,182,A1,none,1.0,0.0,[]
A1_baseline,mmlu_forced_choice,accuracy,0.5066666666666667,300,A1,none,1.0,0.0,[]
