condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B5_baseline,structural_token_ratio,ratio,0.03936787872922151,979,B5,none,1.0,method12_top100,all,,,
B5_baseline,mmlu_accuracy,accuracy,0.5533333333333333,150,B5,none,1.0,method12_top100,all,,,
B5_baseline,exp3_reasoning_em,contains_em,0.48,100,B5,none,1.0,method12_top100,all,,,
B5_all_g2,structural_token_ratio,ratio,0.05088443648732351,979,B5,feature_clamp,2.0,method12_top100,all,,,
B5_all_g2,mmlu_accuracy,accuracy,0.4666666666666667,150,B5,feature_clamp,2.0,method12_top100,all,,,
B5_all_g2,exp3_reasoning_em,contains_em,0.29,100,B5,feature_clamp,2.0,method12_top100,all,,,
B5_early_20_25_g0.5,structural_token_ratio,ratio,0.0446220308938821,979,B5,feature_clamp,0.5,method12_top100,early_20_25,,,
B5_early_20_25_g0.5,mmlu_accuracy,accuracy,0.4666666666666667,150,B5,feature_clamp,0.5,method12_top100,early_20_25,,,
B5_early_20_25_g0.5,exp3_reasoning_em,contains_em,0.34,100,B5,feature_clamp,0.5,method12_top100,early_20_25,,,
B5_mid_26_29_g0,structural_token_ratio,ratio,0.03863364248936833,979,B5,feature_clamp,0.0,method12_top100,mid_26_29,,,
B5_mid_26_29_g0,mmlu_accuracy,accuracy,0.56,150,B5,feature_clamp,0.0,method12_top100,mid_26_29,,,
B5_mid_26_29_g0,exp3_reasoning_em,contains_em,0.52,100,B5,feature_clamp,0.0,method12_top100,mid_26_29,,,
B5_late_30_33_g-1,structural_token_ratio,ratio,0.04236203863970578,979,B5,feature_clamp,-1.0,method12_top100,late_30_33,,,
B5_late_30_33_g-1,mmlu_accuracy,accuracy,0.56,150,B5,feature_clamp,-1.0,method12_top100,late_30_33,,,
B5_late_30_33_g-1,exp3_reasoning_em,contains_em,0.42,100,B5,feature_clamp,-1.0,method12_top100,late_30_33,,,
B5_late_30_33_g10,structural_token_ratio,ratio,0.041689528946296954,979,B5,feature_clamp,10.0,method12_top100,late_30_33,,,
B5_late_30_33_g10,mmlu_accuracy,accuracy,0.5333333333333333,150,B5,feature_clamp,10.0,method12_top100,late_30_33,,,
B5_late_30_33_g10,exp3_reasoning_em,contains_em,0.48,100,B5,feature_clamp,10.0,method12_top100,late_30_33,,,
B5_all_g-2,structural_token_ratio,ratio,0.05968069531529838,979,B5,feature_clamp,-2.0,method12_top100,all,,,
B5_all_g-2,mmlu_accuracy,accuracy,0.47333333333333333,150,B5,feature_clamp,-2.0,method12_top100,all,,,
B5_all_g-2,exp3_reasoning_em,contains_em,0.33,100,B5,feature_clamp,-2.0,method12_top100,all,,,
B5_all_g5,structural_token_ratio,ratio,0.017954824969483116,979,B5,feature_clamp,5.0,method12_top100,all,,,
B5_all_g5,mmlu_accuracy,accuracy,0.36666666666666664,150,B5,feature_clamp,5.0,method12_top100,all,,,
B5_all_g5,exp3_reasoning_em,contains_em,0.1,100,B5,feature_clamp,5.0,method12_top100,all,,,
B5_early_20_25_g1,structural_token_ratio,ratio,0.043732889532698195,979,B5,feature_clamp,1.0,method12_top100,early_20_25,,,
B5_early_20_25_g1,mmlu_accuracy,accuracy,0.43333333333333335,150,B5,feature_clamp,1.0,method12_top100,early_20_25,,,
B5_early_20_25_g1,exp3_reasoning_em,contains_em,0.37,100,B5,feature_clamp,1.0,method12_top100,early_20_25,,,
B5_mid_26_29_g0.25,structural_token_ratio,ratio,0.038235555866584836,979,B5,feature_clamp,0.25,method12_top100,mid_26_29,,,
B5_mid_26_29_g0.25,mmlu_accuracy,accuracy,0.5666666666666667,150,B5,feature_clamp,0.25,method12_top100,mid_26_29,,,
B5_mid_26_29_g0.25,exp3_reasoning_em,contains_em,0.54,100,B5,feature_clamp,0.25,method12_top100,mid_26_29,,,
B5_late_30_33_g-0.5,structural_token_ratio,ratio,0.04189451347421505,979,B5,feature_clamp,-0.5,method12_top100,late_30_33,,,
B5_late_30_33_g-0.5,mmlu_accuracy,accuracy,0.56,150,B5,feature_clamp,-0.5,method12_top100,late_30_33,,,
B5_late_30_33_g-0.5,exp3_reasoning_em,contains_em,0.45,100,B5,feature_clamp,-0.5,method12_top100,late_30_33,,,
B5_all_g-1,structural_token_ratio,ratio,0.05152077411966372,979,B5,feature_clamp,-1.0,method12_top100,all,,,
B5_all_g-1,mmlu_accuracy,accuracy,0.4266666666666667,150,B5,feature_clamp,-1.0,method12_top100,all,,,
B5_all_g-1,exp3_reasoning_em,contains_em,0.24,100,B5,feature_clamp,-1.0,method12_top100,all,,,
B5_all_g10,structural_token_ratio,ratio,5.1072522982635346e-06,979,B5,feature_clamp,10.0,method12_top100,all,,,
B5_all_g10,mmlu_accuracy,accuracy,0.02,150,B5,feature_clamp,10.0,method12_top100,all,,,
