condition,benchmark,metric,value,n,experiment,method,alpha,beta,layers
A1_alpha_-0.5,exp3_alignment_behavior,behavior_match,0.56,300,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-0.5,exp3_reasoning_em,contains_em,0.475,400,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-0.5,format_compliance_v2,compliance_rate,0.2802197802197802,364,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-0.5,mmlu_forced_choice,accuracy,0.48,600,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-0.5,structural_token_ratio,ratio,0.05006594637805157,2800,A1,directional_remove,-0.5,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-1,exp3_alignment_behavior,behavior_match,0.6333333333333333,300,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-1,exp3_reasoning_em,contains_em,0.325,400,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-1,format_compliance_v2,compliance_rate,0.1978021978021978,364,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-1,mmlu_forced_choice,accuracy,0.49333333333333335,600,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-1,structural_token_ratio,ratio,0.05063730225847142,2800,A1,directional_remove,-1.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-2,exp3_alignment_behavior,behavior_match,0.5866666666666667,300,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-2,exp3_reasoning_em,contains_em,0.15,400,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-2,format_compliance_v2,compliance_rate,0.1813186813186813,364,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-2,mmlu_forced_choice,accuracy,0.5,600,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-2,structural_token_ratio,ratio,0.045633131053089346,2800,A1,directional_remove,-2.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-3,exp3_alignment_behavior,behavior_match,0.5866666666666667,300,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-3,exp3_reasoning_em,contains_em,0.055,400,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-3,format_compliance_v2,compliance_rate,0.1978021978021978,364,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-3,mmlu_forced_choice,accuracy,0.4766666666666667,600,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-3,structural_token_ratio,ratio,0.04301104028942737,2800,A1,directional_remove,-3.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
A1_alpha_-5,exp3_alignment_behavior,behavior_match,0.72,300,A1,directional_remove,-5.0,0.0,"[20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]"
