condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B2_baseline,structural_token_ratio,ratio,0.03936787872922151,979,B2,none,1.0,method12_top100,all,,,
B2_baseline,mmlu_accuracy,accuracy,0.5533333333333333,150,B2,none,1.0,method12_top100,all,,,
B2_baseline,exp3_reasoning_em,contains_em,0.48,100,B2,none,1.0,method12_top100,all,,,
B2b_method12_top100_b-1,structural_token_ratio,ratio,0.07198714003823355,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-1,mmlu_accuracy,accuracy,0.18666666666666668,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-1,exp3_reasoning_em,contains_em,0.03,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-5,structural_token_ratio,ratio,0.02201228307010025,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-5,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method3_it_amplified_top100_b-1,structural_token_ratio,ratio,0.07198714003823355,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-1,mmlu_accuracy,accuracy,0.18666666666666668,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-1,exp3_reasoning_em,contains_em,0.03,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-5,structural_token_ratio,ratio,0.02201228307010025,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-5,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method12_top100_b-0,structural_token_ratio,ratio,0.03936787872922151,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-0,mmlu_accuracy,accuracy,0.5533333333333333,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-0,exp3_reasoning_em,contains_em,0.48,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-1.5,structural_token_ratio,ratio,0.025040491473862968,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-1.5,mmlu_accuracy,accuracy,0.02666666666666667,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-1.5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method3_it_amplified_top100_b-0,structural_token_ratio,ratio,0.03936787872922151,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-0,mmlu_accuracy,accuracy,0.5533333333333333,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-0,exp3_reasoning_em,contains_em,0.48,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-1.5,structural_token_ratio,ratio,0.025040491473862968,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-1.5,mmlu_accuracy,accuracy,0.02666666666666667,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-1.5,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method12_top100_b-0.25,structural_token_ratio,ratio,0.044496531688292776,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-0.25,mmlu_accuracy,accuracy,0.52,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-0.25,exp3_reasoning_em,contains_em,0.5,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-2,structural_token_ratio,ratio,0.017541541148353032,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-2,mmlu_accuracy,accuracy,0.006666666666666667,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-2,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method3_it_amplified_top100_b-0.25,structural_token_ratio,ratio,0.044496531688292776,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-0.25,mmlu_accuracy,accuracy,0.52,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-0.25,exp3_reasoning_em,contains_em,0.5,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-2,structural_token_ratio,ratio,0.017541541148353032,979,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-2,mmlu_accuracy,accuracy,0.006666666666666667,150,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method3_it_amplified_top100_b-2,exp3_reasoning_em,contains_em,0.0,100,B2,wdec_inject,1.0,method3_it_amplified_top100,all,,,
B2b_method12_top100_b-0.5,structural_token_ratio,ratio,0.05552142394984319,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-0.5,mmlu_accuracy,accuracy,0.5133333333333333,150,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-0.5,exp3_reasoning_em,contains_em,0.53,100,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-3,structural_token_ratio,ratio,0.011420205813610576,979,B2,wdec_inject,1.0,method12_top100,all,,,
B2b_method12_top100_b-3,mmlu_accuracy,accuracy,0.0,150,B2,wdec_inject,1.0,method12_top100,all,,,
