condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B3_random_100_g0,structural_token_ratio,ratio,0.04804473549440811,979,B3,feature_clamp,0.0,random_100,all,,,
B3_random_100_g0,mmlu_accuracy,accuracy,0.5466666666666666,150,B3,feature_clamp,0.0,random_100,all,,,
B3_random_100_g0,exp3_reasoning_em,contains_em,0.3,100,B3,feature_clamp,0.0,random_100,all,,,
B3_method12_content_top100_g1,structural_token_ratio,ratio,0.052992699311248156,979,B3,feature_clamp,1.0,method12_content_top100,all,,,
B3_method12_content_top100_g1,mmlu_accuracy,accuracy,0.52,150,B3,feature_clamp,1.0,method12_content_top100,all,,,
B3_method12_content_top100_g1,exp3_reasoning_em,contains_em,0.26,100,B3,feature_clamp,1.0,method12_content_top100,all,,,
B3_method3_it_suppressed_top100_g5,structural_token_ratio,ratio,0.06308025192729559,979,B3,feature_clamp,5.0,method3_it_suppressed_top100,all,,,
B3_method3_it_suppressed_top100_g5,mmlu_accuracy,accuracy,0.4866666666666667,150,B3,feature_clamp,5.0,method3_it_suppressed_top100,all,,,
B3_method3_it_suppressed_top100_g5,exp3_reasoning_em,contains_em,0.33,100,B3,feature_clamp,5.0,method3_it_suppressed_top100,all,,,
B3_random_100_g1,structural_token_ratio,ratio,0.04660421229368672,979,B3,feature_clamp,1.0,random_100,all,,,
B3_random_100_g1,mmlu_accuracy,accuracy,0.5333333333333333,150,B3,feature_clamp,1.0,random_100,all,,,
B3_random_100_g1,exp3_reasoning_em,contains_em,0.32,100,B3,feature_clamp,1.0,random_100,all,,,
B3_method12_content_top100_g5,structural_token_ratio,ratio,0.05217118642528479,979,B3,feature_clamp,5.0,method12_content_top100,all,,,
B3_method12_content_top100_g5,mmlu_accuracy,accuracy,0.5333333333333333,150,B3,feature_clamp,5.0,method12_content_top100,all,,,
B3_method12_content_top100_g5,exp3_reasoning_em,contains_em,0.36,100,B3,feature_clamp,5.0,method12_content_top100,all,,,
B3_random_100_g5,structural_token_ratio,ratio,0.05113609824828772,979,B3,feature_clamp,5.0,random_100,all,,,
B3_random_100_g5,mmlu_accuracy,accuracy,0.52,150,B3,feature_clamp,5.0,random_100,all,,,
B3_random_100_g5,exp3_reasoning_em,contains_em,0.31,100,B3,feature_clamp,5.0,random_100,all,,,
B3_method3_it_suppressed_top100_g0,structural_token_ratio,ratio,0.048048892193554286,979,B3,feature_clamp,0.0,method3_it_suppressed_top100,all,,,
B3_method3_it_suppressed_top100_g0,mmlu_accuracy,accuracy,0.56,150,B3,feature_clamp,0.0,method3_it_suppressed_top100,all,,,
B3_method3_it_suppressed_top100_g0,exp3_reasoning_em,contains_em,0.34,100,B3,feature_clamp,0.0,method3_it_suppressed_top100,all,,,
B3_method12_content_top100_g0,structural_token_ratio,ratio,0.0540520892613603,979,B3,feature_clamp,0.0,method12_content_top100,all,,,
B3_method12_content_top100_g0,mmlu_accuracy,accuracy,0.52,150,B3,feature_clamp,0.0,method12_content_top100,all,,,
B3_method12_content_top100_g0,exp3_reasoning_em,contains_em,0.25,100,B3,feature_clamp,0.0,method12_content_top100,all,,,
B3_method3_it_suppressed_top100_g1,structural_token_ratio,ratio,0.05320819769454466,979,B3,feature_clamp,1.0,method3_it_suppressed_top100,all,,,
B3_method3_it_suppressed_top100_g1,mmlu_accuracy,accuracy,0.52,150,B3,feature_clamp,1.0,method3_it_suppressed_top100,all,,,
B3_method3_it_suppressed_top100_g1,exp3_reasoning_em,contains_em,0.41,100,B3,feature_clamp,1.0,method3_it_suppressed_top100,all,,,
B3_random_100_g0,format_compliance,compliance,0.5833333333333334,72,B3,feature_clamp,,,,,,
B3_method12_content_top100_g1,format_compliance,compliance,0.6111111111111112,72,B3,feature_clamp,,,,,,
B3_method3_it_suppressed_top100_g5,format_compliance,compliance,0.6388888888888888,72,B3,feature_clamp,,,,,,
B3_random_100_g1,format_compliance,compliance,0.625,72,B3,feature_clamp,,,,,,
