condition,benchmark,metric,value,n,experiment,method,gamma,feature_set,feature_layer_range,alpha,beta,layers
B1_baseline,structural_token_ratio,ratio,0.03936787872922151,979,B1,none,1.0,method12_top100,all,,,
B1_baseline,turn_structure,structure_count,0.7058222676200204,979,B1,none,1.0,method12_top100,all,,,
B1_baseline,exp3_factual_em,contains_em,0.675,200,B1,none,1.0,method12_top100,all,,,
B1_baseline,exp3_reasoning_em,contains_em,0.48,100,B1,none,1.0,method12_top100,all,,,
B1_baseline,mmlu_accuracy,accuracy,0.5533333333333333,150,B1,none,1.0,method12_top100,all,,,
B1_method12_top50_g0,structural_token_ratio,ratio,0.04822137515302637,979,B1,feature_clamp,0.0,method12_top50,all,,,
B1_method12_top50_g0,mmlu_accuracy,accuracy,0.5333333333333333,150,B1,feature_clamp,0.0,method12_top50,all,,,
B1_method12_top50_g0,exp3_reasoning_em,contains_em,0.35,100,B1,feature_clamp,0.0,method12_top50,all,,,
B1_method12_top100_g0.25,structural_token_ratio,ratio,0.0533696472113645,979,B1,feature_clamp,0.25,method12_top100,all,,,
B1_baseline,factual_em,contains_em,0.675,200,B1,none,1.0,method12_top100,all,,,
B1_baseline,reasoning_em,contains_em,0.48,100,B1,none,1.0,method12_top100,all,,,
B1_baseline,alignment_behavior,behavior_match,,0,B1,none,1.0,method12_top100,all,,,
B1_method12_top50_g0,reasoning_em,contains_em,0.35,100,B1,feature_clamp,0.0,method12_top50,all,,,
B1_method12_top50_g0,alignment_behavior,behavior_match,0.19,100,B1,feature_clamp,0.0,method12_top50,all,,,
B1_method12_top100_g0.25,mmlu_accuracy,accuracy,0.48,150,B1,feature_clamp,0.25,method12_top100,all,,,
B1_method12_top100_g0.25,exp3_reasoning_em,contains_em,0.32,100,B1,feature_clamp,0.25,method12_top100,all,,,
B1_method12_top500_g0.5,structural_token_ratio,ratio,0.053058285993317,979,B1,feature_clamp,0.5,method12_top500,all,,,
B1_method12_top500_g0.5,mmlu_accuracy,accuracy,0.48,150,B1,feature_clamp,0.5,method12_top500,all,,,
B1_method12_top500_g0.5,exp3_reasoning_em,contains_em,0.28,100,B1,feature_clamp,0.5,method12_top500,all,,,
B1_method12_all_g1,structural_token_ratio,ratio,0.05469057903706067,979,B1,feature_clamp,1.0,method12_all,all,,,
B1_method12_all_g1,mmlu_accuracy,accuracy,0.36666666666666664,150,B1,feature_clamp,1.0,method12_all,all,,,
B1_method12_all_g1,exp3_reasoning_em,contains_em,0.24,100,B1,feature_clamp,1.0,method12_all,all,,,
B1_method3_it_amplified_top100_g2,structural_token_ratio,ratio,0.057610600236912224,979,B1,feature_clamp,2.0,method3_it_amplified_top100,all,,,
